steamid	appid	playtime_forever
76561197960266292	22000	710
76561197960266292	500	297
76561197960266292	17460	856
76561197960266292	17410	357
76561197960266292	20540	130
76561197960266292	3590	349
76561197960266292	34460	386
76561197960266292	22330	343
76561197960266292	16300	72
76561197960266292	26800	897
76561197960266292	27000	65
76561197960266292	6040	314
76561197960266292	20500	246
76561197960266292	25700	268
76561197960266292	8980	6999
76561197960266292	41500	4419
76561197960266292	40400	1774
76561197960266292	17800	94
76561197960266292	40100	1055
76561197960266292	47700	381
76561197960266292	46410	1548
76561197960266292	7060	60
76561197960266292	23300	946
76561197960266292	25620	423
76561197960266292	63910	3093
76561197960266292	35460	151
76561197960266292	37800	103
76561197960266292	93200	170
76561197960266292	2760	502
76561197960266292	620	1297
76561197960266292	56400	770
76561197960266292	42910	1154
76561197960266292	63000	348
76561197960266292	91600	1262
76561197960266292	57900	587
76561197960266292	105100	78
76561197960266292	105600	98
76561197960266292	105400	801
76561197960266292	21100	333
76561197960266292	49470	878
76561197960266292	19680	250
76561197960266292	47810	65
76561197960266292	26900	72
76561197960266292	70300	236
76561197960266292	32800	1412
76561197960266292	107100	181
76561197960266292	55150	115
76561197960266292	24240	686
76561197960266292	98200	143
76561197960266292	65800	12091
76561197960266292	200130	131
76561197960266292	22600	136
76561197960266292	200710	3325
76561197960266292	97330	207
76561197960266292	49520	11147
76561197960266292	207650	212
76561197960266416	10	26423
76561197960266416	20	83
76561197960266416	30	124
76561197960266292	211260	204
76561197960266416	240	190
76561197960266292	219890	539
76561197960266416	440	1261
76561197960266292	224760	581
76561197960266292	210770	1597
76561197960266292	234650	135
76561197960266292	220200	195
76561197960266292	241600	1271
76561197960266292	217140	97
76561197960266292	249990	805
76561197960266292	440	307
76561197960266448	10	129
76561197960266448	240	830
76561197960266448	4550	1653
76561197960266448	7940	254
76561197960266448	12900	591
76561197960266448	11900	189
76561197960266448	11920	151
76561197960266448	12750	72
76561197960266448	500	2587
76561197960266448	18500	372
76561197960266448	1250	4106
76561197960266448	35420	101
76561197960266448	8980	5188
76561197960266448	12840	266
76561197960266448	24960	1481
76561197960266448	8930	109
76561197960266448	22380	668
76561197960266448	78000	723
76561197960266448	91600	124
76561197960266448	620	272
76561197960266448	48720	1345
76561197960266448	105600	1325
76561197960266448	24240	130
76561197960266448	65800	8665
76561197960266448	2400	145
76561197960266448	104700	168
76561197960266448	38740	71
76561197960266448	200710	1166
76561197960266448	219740	1902
76561197960266448	224500	2143
76561197960266448	304930	194
76561197960266448	440	271559
76561197960266448	570	36865
76561197960266448	630	86
76561197960266174	70	246
76561197960266322	240	476
76561197960266322	300	10281
76561197960266476	3480	74
76561197960266476	7600	1251
76561197960266476	400	79
76561197960266322	4760	9041
76561197960266476	2700	2445
76561197960266476	15120	217
76561197960266476	18500	962
76561197960266322	4560	149
76561197960266476	17480	503
76561197960266476	4560	518
76561197960266322	17480	11985
76561197960266476	20540	386
76561197960266322	730	603
76561197960266476	3590	220
76561197960266476	40100	353
76561197960266476	24780	856
76561197960266476	22600	92
76561197960266476	63200	175
76561197960266476	91200	572
76561197960266476	73010	1173
76561197960266476	48240	6840
76561197960266476	24010	344
76561197960266476	212680	146
76561197960266476	225600	371
76561197960266476	221380	60
76561197960266476	233450	3869
76561197960266476	202270	62
76561197960266476	220200	540
76561197960266476	221680	123
76561197960266476	440	331
76561197960266476	630	347
76561197960266476	17580	81
76561197960266440	220	5382
76561197960266440	240	388
76561197960266440	280	1662
76561197960266440	320	920
76561197960266440	340	2688
76561197960266440	360	675
76561197960266440	300	162
76561197960266440	50	307
76561197960266440	70	1261
76561197960266440	130	801
76561197960266440	3350	2943
76561197960266440	4000	8631
76561197960266440	2990	69
76561197960266440	6220	269
76561197960266440	380	1795
76561197960266440	400	5270
76561197960266440	420	2159
76561197960266440	12900	3466
76561197960266440	13240	110
76561197960266440	10530	75
76561197960266440	12360	1308
76561197960266440	7650	349
76561197960266440	500	829
76561197960266440	3560	636
76561197960266440	19980	529
76561197960266440	1530	61
76561197960266440	6100	531
76561197960266440	23200	404
76561197960266440	3480	3942
76561197960266440	3540	7130
